,YEAR,MO,DY,HR,WS50M,ALLSKY_SFC_SW_DWN,T2M,Season,Load,Price
172,2022,6,9,4,5.4,11.69,15.44,Summer,1136,0.05
173,2022,6,9,5,5.57,54.73,15.6,Summer,1167,0.05
174,2022,6,9,6,4.8,132.41,16.12,Summer,1173,0.05
175,2022,6,9,7,4.03,234.84,17.09,Summer,1449,0.15
176,2022,6,9,8,2.4,429.85,17.53,Summer,1798,0.15
177,2022,6,9,9,1.67,587.98,18.4,Summer,1881,0.15
178,2022,6,9,10,1.76,478.13,20.02,Summer,1869,0.2
179,2022,6,9,11,2.21,507.85,21.63,Summer,2052,0.2
180,2022,6,9,12,2.96,624.4,22.54,Summer,1884,0.2
181,2022,6,9,13,3.22,654.66,22.77,Summer,1875,0.2
182,2022,6,9,14,3.05,505.98,22.86,Summer,1887,0.2
183,2022,6,9,15,2.91,370.12,22.94,Summer,1887,0.15
184,2022,6,9,16,2.74,257.83,22.56,Summer,1881,0.15
185,2022,6,9,17,2.34,102.9,21.86,Summer,1771,0.15
186,2022,6,9,18,2.16,20.0,20.41,Summer,1856,0.2
187,2022,6,9,19,1.89,0.0,19.54,Summer,1866,0.2
188,2022,6,9,20,1.4,0.0,19.18,Summer,1694,0.2
189,2022,6,9,21,1.06,0.0,18.9,Summer,1559,0.15
190,2022,6,9,22,1.68,0.0,18.12,Summer,1479,0.15
191,2022,6,9,23,2.24,0.0,17.52,Summer,1384,0.05
192,2022,6,10,0,2.43,0.0,17.1,Summer,1109,0.05
193,2022,6,10,1,2.44,0.0,16.74,Summer,1170,0.05
194,2022,6,10,2,2.86,0.0,16.43,Summer,1164,0.05
195,2022,6,10,3,3.45,0.0,16.27,Summer,1139,0.05
196,2022,6,10,4,4.13,16.72,16.28,Summer,1136,0.05
197,2022,6,10,5,3.86,94.53,17.43,Summer,1167,0.05
198,2022,6,10,6,2.58,246.6,18.35,Summer,1173,0.05
199,2022,6,10,7,1.62,418.03,19.87,Summer,1449,0.15
200,2022,6,10,8,2.19,535.33,20.9,Summer,1798,0.15
