YEAR,MO,DY,HR,WS10M,T2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,WS50M
2022,6,18,4,2.23,19.12,13.67,16.29,3.85
2022,6,18,5,2.9,20.29,109.67,45.78,3.78
2022,6,18,6,3,21.44,260.92,104.95,3.74
2022,6,18,7,3.14,22.81,420.5,169.3,3.8
2022,6,18,8,3.1,23.8,580.52,244.95,3.65
2022,6,18,9,3.24,24.74,717.92,263.34,3.75
2022,6,18,10,3.62,25.49,819.9,270.25,4.18
2022,6,18,11,3.88,25.87,880.8,313.77,4.48
2022,6,18,12,3.93,25.64,849.25,410.72,4.53
2022,6,18,13,3.99,25.38,764.1,428.85,4.64
2022,6,18,14,4.03,25.19,630.15,355.58,4.71
2022,6,18,15,4,24.93,463.2,267.53,4.72
2022,6,18,16,3.99,24.32,282.42,150.41,4.8
2022,6,18,17,3.65,23.39,121.5,64.23,4.75
2022,6,18,18,2.82,22.05,20.42,18.1,4.42
2022,6,18,19,2.42,20.94,0,0,3.99
2022,6,18,20,2.2,20.37,0,0,3.62
2022,6,18,21,2.12,19.87,0,0,3.55
2022,6,18,22,2.07,19.4,0,0,3.57
2022,6,18,23,1.93,19.01,0,0,3.32
2022,6,19,0,1.92,18.8,0,0,3.25
2022,6,19,1,2.12,18.62,0,0,3.63
2022,6,19,2,2.31,18.58,0,0,3.95
2022,6,19,3,2.22,18.48,0,0,3.77
2022,6,19,4,2.17,18.73,12.62,16.23,3.6
2022,6,19,5,2.8,19.76,103.8,16.39,3.55
2022,6,19,6,2.74,20.94,256.52,53.38,3.33
2022,6,19,7,2.67,22.54,431.1,103.16,3.17
2022,6,19,8,2.86,23.88,596.77,177.09,3.33
2022,6,19,9,3.18,24.82,743.7,258.41,3.66
2022,6,19,10,3.34,25.5,841.08,285.9,3.8
2022,6,19,11,3.38,25.96,834.05,231.88,3.81
2022,6,19,12,3.42,26.15,820.33,262.92,3.83
2022,6,19,13,3.48,26.15,748.25,252.08,3.88
2022,6,19,14,3.42,25.9,623.38,198.82,3.82
2022,6,19,15,3.23,25.44,462.73,135.88,3.62
2022,6,19,16,2.91,24.74,286.55,81.81,3.33
2022,6,19,17,2.46,23.9,126.12,28.13,3.13
2022,6,19,18,2.04,22.62,21,16.92,3.13
2022,6,19,19,2.01,21.5,0,0,3.15
2022,6,19,20,1.92,20.95,0,0,3.06
2022,6,19,21,1.82,20.45,0,0,3.04
2022,6,19,22,1.77,19.93,0,0,2.95
2022,6,19,23,1.69,19.55,0,0,2.73
2022,6,20,0,1.43,19.42,0,0,2.19
2022,6,20,1,1.09,19.44,0,0,1.58
2022,6,20,2,1.04,19.33,0,0,1.47
2022,6,20,3,1.19,19.1,0,0,1.7
2022,6,20,4,1.27,19.12,11.2,12.05,1.86
2022,6,20,5,1.36,20.32,92.75,52.02,1.62
2022,6,20,6,0.5,22.1,236,117.73,0.47
2022,6,20,7,0.63,23.59,407.75,192.86,0.69
2022,6,20,8,1,24.76,574.35,305.63,1.06
2022,6,20,9,1.31,25.77,709.23,394.87,1.35
2022,6,20,10,1.61,26.54,796.88,529.25,1.65
2022,6,20,11,1.84,27.11,830.83,574.24,1.87
2022,6,20,12,1.99,27.43,807.5,615.6,2.01
2022,6,20,13,2.05,27.56,729.77,604.9,2.05
2022,6,20,14,2.04,27.51,603.7,513.07,2.03
2022,6,20,15,1.97,27.3,445.35,391.91,1.98
2022,6,20,16,1.91,26.84,274.62,248.12,1.99
2022,6,20,17,1.84,26.11,121.1,114.96,2.14
2022,6,20,18,2.04,24.3,20.58,19.11,2.9
2022,6,20,19,2.46,22.38,0,0,3.86
2022,6,20,20,2.59,21.39,0,0,4.13
2022,6,20,21,2.45,20.72,0,0,3.94
2022,6,20,22,2.2,20.24,0,0,3.6
2022,6,20,23,2,19.84,0,0,3.34
2022,6,21,0,1.97,19.55,0,0,3.31
2022,6,21,1,2.03,19.33,0,0,3.42
2022,6,21,2,2.05,19.18,0,0,3.43
2022,6,21,3,1.97,19.07,0,0,3.2
2022,6,21,4,1.81,19.32,11.8,15.49,2.9
2022,6,21,5,1.85,20.75,100.2,59.11,2.31
2022,6,21,6,1.14,22.34,251.67,171.91,1.19
2022,6,21,7,0.21,24.69,426.52,294.38,0.22
2022,6,21,8,0.68,26.72,593.6,503.61,0.67
2022,6,21,9,1.36,27.76,731.02,659.05,1.38
2022,6,21,10,1.53,28.42,822.4,765.01,1.59
2022,6,21,11,1.3,29.09,854.65,768.92,1.31
2022,6,21,12,1.4,29.62,833.42,775.34,1.24
2022,6,21,13,1.98,29.67,757.55,732.21,1.83
2022,6,21,14,2.72,29.07,631.92,616.51,2.75
2022,6,21,15,3.29,28.23,469.7,442.13,3.72
2022,6,21,16,3.69,27.33,292.52,275.64,4.41
2022,6,21,17,3.79,25.77,129.8,117.29,4.92
2022,6,21,18,3.39,23.49,21.9,26.12,5.37
2022,6,21,19,3.18,21.88,0,0,5.34
2022,6,21,20,2.95,21.07,0,0,5
2022,6,21,21,2.72,20.48,0,0,4.67
2022,6,21,22,2.42,20.01,0,0,4.11
2022,6,21,23,2.11,19.8,0,0,3.35
2022,6,22,0,2.07,19.64,0,0,3.2
2022,6,22,1,1.96,19.19,0,0,3.26
2022,6,22,2,1.79,18.92,0,0,2.94
2022,6,22,3,1.7,18.89,0,0,2.75
2022,6,22,4,1.81,19.06,11.4,15.11,2.94
2022,6,22,5,2.03,19.74,95.4,49.67,2.66
2022,6,22,6,1.81,21.06,241.5,99.04,2.12
2022,6,22,7,1.9,22.94,413.48,165.76,2.25
2022,6,22,8,2.01,24.44,580.35,323.76,2.31
2022,6,22,9,2.08,25.5,718.62,492.43,2.34
2022,6,22,10,2.34,26.26,812.42,603.11,2.62
2022,6,22,11,2.88,26.79,809.05,547.92,3.23
2022,6,22,12,3.5,26.99,792.62,661.34,3.94
2022,6,22,13,4,26.95,721.05,593.61,4.53
2022,6,22,14,3.97,26.69,604.2,388.3,4.54
2022,6,22,15,3.7,26.41,453.33,290.65,4.27
2022,6,22,16,3.26,25.77,287.38,179.54,3.95
2022,6,22,17,2.52,24.75,132.55,82.09,3.4
2022,6,22,18,1.77,23.51,23.5,22.49,2.64
2022,6,22,19,1.2,22.73,0,0,1.73
2022,6,22,20,0.54,22.68,0,0,0.74
